city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Helsinki,60.1756,24.9342,Finland,FI,Uusimaa,primary,642045,642045
Espoo,60.2100,24.6600,Finland,FI,Uusimaa,minor,269802,269802
Tampere,61.4981,23.7608,Finland,FI,Pirkanmaa,admin,225118,225118
Vantaa,60.3000,25.0333,Finland,FI,Uusimaa,minor,214605,214605
Oulu,65.0142,25.4719,Finland,FI,Pohjois-Pohjanmaa,admin,200526,200526
Turku,60.4517,22.2700,Finland,FI,Varsinais-Suomi,admin,187604,187604
Jyväskylä,62.2333,25.7333,Finland,FI,Keski-Suomi,admin,137368,137368
Lahti,60.9833,25.6556,Finland,FI,Päijät-Häme,admin,118119,118119
Kuopio,62.8925,27.6783,Finland,FI,Pohjois-Savo,admin,112117,112117
Kouvola,60.8681,26.7042,Finland,FI,Kymenlaakso,admin,85855,85855
Pori,61.4847,21.7972,Finland,FI,Satakunta,admin,85363,85363
Joensuu,62.6000,29.7639,Finland,FI,Pohjois-Karjala,admin,75514,75514
Lappeenranta,61.0583,28.1861,Finland,FI,Etelä-Karjala,admin,72875,72875
Hämeenlinna,61.0000,24.4414,Finland,FI,Kanta-Häme,admin,68011,68011
Vaasa,63.1000,21.6167,Finland,FI,Pohjanmaa,admin,67619,67619
Rovaniemi,66.5014,25.7347,Finland,FI,Lappi,admin,61763,61763
Seinäjoki,62.7903,22.8403,Finland,FI,Etelä-Pohjanmaa,admin,61530,61530
Mikkeli,61.6875,27.2736,Finland,FI,Etelä-Savo,admin,54665,54665
Kotka,60.4667,26.9458,Finland,FI,Kymenlaakso,minor,54319,54319
Salo,60.3831,23.1331,Finland,FI,Varsinais-Suomi,minor,53890,53890
Porvoo,60.3931,25.6639,Finland,FI,Uusimaa,minor,49928,49928
Kokkola,63.8333,23.1333,Finland,FI,Keski-Pohjanmaa,admin,47570,47570
Lohja,60.2500,24.0667,Finland,FI,Uusimaa,minor,47353,47353
Hyvinkää,60.6306,24.8597,Finland,FI,Uusimaa,minor,46463,46463
Nurmijärvi,60.4667,24.8083,Finland,FI,Uusimaa,minor,42709,42709
Järvenpää,60.4722,25.0889,Finland,FI,Uusimaa,minor,40106,40106
Rauma,61.1167,21.5000,Finland,FI,Satakunta,minor,39809,39809
Kajaani,64.2250,27.7333,Finland,FI,Kainuu,admin,37622,37622
Savonlinna,61.8667,28.8831,Finland,FI,Etelä-Savo,minor,35523,35523
Kerava,60.4028,25.1000,Finland,FI,Uusimaa,minor,35293,35293
Nokia,61.4778,23.5097,Finland,FI,Pirkanmaa,minor,33322,33322
Ylöjärvi,61.5500,23.5833,Finland,FI,Pirkanmaa,minor,32738,32738
Kaarina,60.4069,22.3722,Finland,FI,Varsinais-Suomi,minor,32590,32590
Riihimäki,60.7333,24.7667,Finland,FI,Kanta-Häme,minor,29269,29269
Imatra,61.1931,28.7764,Finland,FI,Etelä-Karjala,minor,27835,27835
Sastamala,61.3417,22.9083,Finland,FI,Pirkanmaa,minor,25220,25220
Raahe,64.6847,24.4792,Finland,FI,Pohjois-Pohjanmaa,minor,25165,25165
Raisio,60.4861,22.1694,Finland,FI,Varsinais-Suomi,minor,24290,24290
Iisalmi,63.5611,27.1889,Finland,FI,Pohjois-Savo,minor,21945,21945
Tornio,65.8486,24.1472,Finland,FI,Lappi,minor,21928,21928
Kemi,65.7361,24.5639,Finland,FI,Lappi,minor,21758,21758
Kurikka,62.6167,22.4000,Finland,FI,Etelä-Pohjanmaa,minor,21734,21734
Jämsä,61.8639,25.1903,Finland,FI,Keski-Suomi,minor,21542,21542
Valkeakoski,61.2667,24.0306,Finland,FI,Pirkanmaa,minor,21332,21332
Varkaus,62.3167,27.8833,Finland,FI,Pohjois-Savo,minor,21155,21155
Hamina,60.5697,27.1981,Finland,FI,Kymenlaakso,minor,20851,20851
Äänekoski,62.6042,25.7264,Finland,FI,Keski-Suomi,minor,19919,19919
Heinola,61.2028,26.0319,Finland,FI,Päijät-Häme,minor,19575,19575
Jakobstad,63.6667,22.7000,Finland,FI,Pohjanmaa,minor,19436,19436
Naantali,60.4681,22.0264,Finland,FI,Varsinais-Suomi,minor,18916,18916
Pieksämäki,62.3000,27.1583,Finland,FI,Etelä-Savo,minor,18220,18220
Forssa,60.8167,23.6167,Finland,FI,Kanta-Häme,minor,17422,17422
Toijala,61.1667,23.8681,Finland,FI,Pirkanmaa,minor,17043,17043
Kauhava,63.1014,23.0639,Finland,FI,Etelä-Pohjanmaa,minor,16784,16784
Loimaa,60.8514,23.0583,Finland,FI,Varsinais-Suomi,minor,16467,16467
Orimattila,60.8042,25.7333,Finland,FI,Päijät-Häme,minor,16326,16326
Kuusamo,65.9667,29.1667,Finland,FI,Pohjois-Pohjanmaa,minor,15688,15688
Uusikaupunki,60.7833,21.4167,Finland,FI,Varsinais-Suomi,minor,15510,15510
Pargas,60.3000,22.3000,Finland,FI,Varsinais-Suomi,minor,15457,15457
Lovisa,60.4569,26.2250,Finland,FI,Uusimaa,minor,15311,15311
Ylivieska,64.0722,24.5375,Finland,FI,Pohjois-Pohjanmaa,minor,15039,15039
Lapua,62.9708,23.0069,Finland,FI,Etelä-Pohjanmaa,minor,14609,14609
Kauhajoki,62.4319,22.1794,Finland,FI,Etelä-Pohjanmaa,minor,13875,13875
Ulvila,61.4292,21.8750,Finland,FI,Satakunta,minor,13237,13237
Kalajoki,64.2597,23.9486,Finland,FI,Pohjois-Pohjanmaa,minor,12621,12621
Alavus,62.5861,23.6194,Finland,FI,Etelä-Pohjanmaa,minor,12044,12044
Lieksa,63.3167,30.0167,Finland,FI,Pohjois-Karjala,minor,11772,11772
Kankaanpää,61.8042,22.3944,Finland,FI,Satakunta,minor,11769,11769
Mariehamn,60.0986,19.9444,Finland,FI,Åland,admin,11461,11461
Nivala,63.9292,24.9778,Finland,FI,Pohjois-Pohjanmaa,minor,10876,10876
Kitee,62.0986,30.1375,Finland,FI,Pohjois-Karjala,minor,10832,10832
Paimio,60.4569,22.6861,Finland,FI,Varsinais-Suomi,minor,10620,10620
Huittinen,61.1764,22.6986,Finland,FI,Satakunta,minor,10473,10473
Keuruu,62.2597,24.7069,Finland,FI,Keski-Suomi,minor,10117,10117
Alajärvi,63.0000,23.8167,Finland,FI,Etelä-Pohjanmaa,minor,10006,10006
Saarijärvi,62.7056,25.2569,Finland,FI,Keski-Suomi,minor,9915,9915
Kauniainen,60.2097,24.7264,Finland,FI,Uusimaa,minor,9486,9486
Orivesi,61.6778,24.3569,Finland,FI,Pirkanmaa,minor,9408,9408
Närpes,62.4736,21.3375,Finland,FI,Pohjanmaa,minor,9387,9387
Somero,60.6292,23.5139,Finland,FI,Varsinais-Suomi,minor,9093,9093
Karkkila,60.5347,24.2097,Finland,FI,Uusimaa,minor,8969,8969
Sodankylä,67.4171,26.6000,Finland,FI,Lappi,minor,8942,4091
Hanko,59.8236,22.9681,Finland,FI,Uusimaa,minor,8864,8864
Kuhmo,64.1250,29.5167,Finland,FI,Kainuu,minor,8806,8806
Kiuruvesi,63.6528,26.6194,Finland,FI,Pohjois-Savo,minor,8600,8600
Laitila,60.8792,21.6931,Finland,FI,Varsinais-Suomi,minor,8520,8520
Pudasjärvi,65.3583,27.0000,Finland,FI,Pohjois-Pohjanmaa,minor,8257,8257
Nurmes,63.5444,29.1333,Finland,FI,Pohjois-Karjala,minor,7996,7996
Kemijärvi,66.7167,27.4333,Finland,FI,Lappi,minor,7766,7766
Oulainen,64.2667,24.8167,Finland,FI,Pohjois-Pohjanmaa,minor,7610,7610
Kokemäki,61.2556,22.3486,Finland,FI,Satakunta,minor,7591,7591
Nykarleby,63.5167,22.5333,Finland,FI,Pohjanmaa,minor,7564,7564
Haapajärvi,63.7486,25.3181,Finland,FI,Pohjois-Pohjanmaa,minor,7438,7438
Suonenjoki,62.6250,27.1222,Finland,FI,Pohjois-Savo,minor,7390,7390
Harjavalta,61.3139,22.1417,Finland,FI,Satakunta,minor,7296,7296
Ikaalinen,61.7694,23.0681,Finland,FI,Pirkanmaa,minor,7207,7207
Haapavesi,64.1375,25.3667,Finland,FI,Pohjois-Pohjanmaa,minor,7167,7167
Outokumpu,62.7250,29.0167,Finland,FI,Pohjois-Karjala,minor,7139,7139
Virrat,62.2403,23.7708,Finland,FI,Pirkanmaa,minor,7002,7002
Kristinestad,62.2736,21.3778,Finland,FI,Pohjanmaa,minor,6793,6793
Parkano,62.0097,23.0250,Finland,FI,Pirkanmaa,minor,6766,6766
Viitasaari,63.0750,25.8597,Finland,FI,Keski-Suomi,minor,6666,6666
Ähtäri,62.5500,24.0694,Finland,FI,Etelä-Pohjanmaa,minor,6068,6068
Kannus,63.9000,23.9167,Finland,FI,Keski-Pohjanmaa,minor,5520,5520
Juankoski,63.0639,28.3278,Finland,FI,Pohjois-Savo,minor,4804,4804
Ylitornio,66.3167,23.6667,Finland,FI,Lappi,minor,4291,4291
Salla,66.8333,28.6667,Finland,FI,Lappi,minor,3727,3727
Pello,66.7750,23.9667,Finland,FI,Lappi,minor,3623,3623
Kaavi,62.9750,28.4833,Finland,FI,Pohjois-Savo,minor,3194,3194
Muonio,67.9500,23.6833,Finland,FI,Lappi,minor,2358,2358
Kaskinen,62.3847,21.2222,Finland,FI,Pohjanmaa,minor,1285,1285
Pirkkala,61.4667,23.5667,Finland,FI,Pirkanmaa,minor,,
Tuusula,60.4167,25.0333,Finland,FI,Uusimaa,minor,,
Kempele,64.9167,25.5000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Kirkkonummi,60.1167,24.4333,Finland,FI,Uusimaa,minor,,
Aura,60.6000,22.5667,Finland,FI,Varsinais-Suomi,minor,,
Lieto,60.5000,22.4500,Finland,FI,Varsinais-Suomi,minor,,
Lempäälä,61.3167,23.7500,Finland,FI,Pirkanmaa,minor,,
Muurame,62.1333,25.6667,Finland,FI,Keski-Suomi,minor,,
Masku,60.5667,22.1000,Finland,FI,Varsinais-Suomi,minor,,
Sipoo,60.3667,25.2667,Finland,FI,Uusimaa,minor,,
Siilinjärvi,63.0833,27.6667,Finland,FI,Pohjois-Savo,minor,,
Nummela,60.3333,24.3333,Finland,FI,Uusimaa,minor,,
Larsmo,63.7500,22.8000,Finland,FI,Pohjanmaa,minor,,
Rusko,60.5333,22.2167,Finland,FI,Varsinais-Suomi,minor,,
Hollola,61.0000,25.5000,Finland,FI,Päijät-Häme,minor,,
Nastola,60.9500,25.9333,Finland,FI,Päijät-Häme,minor,,
Kangasala,61.4667,24.0833,Finland,FI,Pirkanmaa,minor,,
Mäntsälä,60.6333,25.3167,Finland,FI,Uusimaa,minor,,
Pornainen,60.4667,25.3833,Finland,FI,Uusimaa,minor,,
Jomala,60.1500,19.9667,Finland,FI,Åland,minor,,
Nakkila,61.3667,22.0000,Finland,FI,Satakunta,minor,,
Jokioinen,60.8167,23.4667,Finland,FI,Kanta-Häme,minor,,
Turenki,60.9167,24.6333,Finland,FI,Kanta-Häme,minor,,
Laukaa,62.4167,25.9500,Finland,FI,Keski-Suomi,minor,,
Parola,61.0500,24.3667,Finland,FI,Kanta-Häme,minor,,
Siuntio,60.1833,24.2000,Finland,FI,Uusimaa,minor,,
Korsholm,63.1167,21.7167,Finland,FI,Pohjanmaa,minor,,
Askola,60.5333,25.6000,Finland,FI,Uusimaa,minor,,
Nousiainen,60.6167,22.1333,Finland,FI,Varsinais-Suomi,minor,,
Raseborg,59.9833,23.6500,Finland,FI,Uusimaa,minor,,
Oitti,60.7833,25.0333,Finland,FI,Kanta-Häme,minor,,
Godby,60.2333,20.0000,Finland,FI,Åland,minor,,
Hämeenkyrö,61.6333,23.2000,Finland,FI,Pirkanmaa,minor,,
Luvia,61.3500,21.6167,Finland,FI,Satakunta,minor,,
Ilmajoki,62.7333,22.5667,Finland,FI,Etelä-Pohjanmaa,minor,,
Eura,61.1333,22.1333,Finland,FI,Satakunta,minor,,
Tarvasjoki,60.5833,22.7333,Finland,FI,Varsinais-Suomi,minor,,
Mänttä,62.0333,24.6333,Finland,FI,Pirkanmaa,minor,,
Kontiolahti,62.7667,29.8500,Finland,FI,Pohjois-Karjala,minor,,
Järvelä,60.8667,25.2833,Finland,FI,Päijät-Häme,minor,,
Eurajoki,61.2000,21.7333,Finland,FI,Satakunta,minor,,
Lemland,60.0833,20.1000,Finland,FI,Åland,minor,,
Siltakylä,60.5000,26.7167,Finland,FI,Kymenlaakso,minor,,
Humppila,60.9333,23.3667,Finland,FI,Kanta-Häme,minor,,
Liperi,62.5333,29.3667,Finland,FI,Pohjois-Karjala,minor,,
Laihia,62.9667,22.0167,Finland,FI,Pohjanmaa,minor,,
Liminka,64.8167,25.4000,Finland,FI,Pohjois-Pohjanmaa,minor,,
Pyhäranta,60.9500,21.4500,Finland,FI,Varsinais-Suomi,minor,,
Mynämäki,60.6667,22.0000,Finland,FI,Varsinais-Suomi,minor,,
Ingå,60.0500,24.0167,Finland,FI,Uusimaa,minor,,
Pukkila,60.6500,25.5667,Finland,FI,Uusimaa,minor,,
Vesilahti,61.3167,23.6167,Finland,FI,Pirkanmaa,minor,,
Vääksy,61.1833,25.5500,Finland,FI,Päijät-Häme,minor,,
Tyrnävä,64.7667,25.6500,Finland,FI,Pohjois-Pohjanmaa,minor,,
Oripää,60.8500,22.6833,Finland,FI,Varsinais-Suomi,minor,,
Hammarland,60.2167,19.7500,Finland,FI,Åland,minor,,
Keminmaa,65.8167,24.5333,Finland,FI,Lappi,minor,,
Ödkarby,60.3000,19.9833,Finland,FI,Åland,minor,,
Bennäs,63.6000,22.8000,Finland,FI,Pohjanmaa,minor,,
Isokyrö,63.0000,22.3167,Finland,FI,Pohjanmaa,minor,,
Lemi,61.0500,27.8000,Finland,FI,Etelä-Karjala,minor,,
Loppi,60.7167,24.4500,Finland,FI,Kanta-Häme,minor,,
